Mark,Type,Timestamp,Start,End
1,pulse,0.4,0.4,0.54
1,pulse,0.4,0.4,0.54
1,pulse,0.41,0.4,0.54
1,pulse,0.41,0.4,0.54
1,pulse,0.42,0.4,0.54
1,pulse,0.42,0.4,0.54
1,pulse,0.43,0.4,0.54
1,pulse,0.43,0.4,0.54
1,pulse,0.44,0.4,0.54
1,pulse,0.44,0.4,0.54
1,pulse,0.45,0.4,0.54
1,pulse,0.45,0.4,0.54
1,pulse,0.46,0.4,0.54
1,pulse,0.46,0.4,0.54
1,pulse,0.47,0.4,0.54
1,pulse,0.47,0.4,0.54
1,pulse,0.48,0.4,0.54
1,pulse,0.48,0.4,0.54
1,pulse,0.49,0.4,0.54
1,pulse,0.49,0.4,0.54
1,pulse,0.5,0.4,0.54
1,pulse,0.5,0.4,0.54
1,pulse,0.51,0.4,0.54
1,pulse,0.51,0.4,0.54
1,pulse,0.52,0.4,0.54
1,pulse,0.52,0.4,0.54
1,pulse,0.53,0.4,0.54
1,pulse,0.53,0.4,0.54
1,pulse,0.54,0.4,0.54
1,pulse,0.54,0.4,0.54
1,breath,0.56,0.56,1.13
1,breath,0.57,0.56,1.13
1,breath,0.59,0.56,1.13
1,breath,1.02,0.56,1.13
1,breath,1.05,0.56,1.13
1,breath,1.07,0.56,1.13
1,breath,1.09,0.56,1.13
1,breath,1.11,0.56,1.13
1,breath,1.13,0.56,1.13
2,pulse,0.22,0.22,0.41
2,pulse,0.22,0.22,0.41
2,pulse,0.23,0.22,0.41
2,pulse,0.23,0.22,0.41
2,pulse,0.24,0.22,0.41
2,pulse,0.24,0.22,0.41
2,pulse,0.25,0.22,0.41
2,pulse,0.25,0.22,0.41
2,pulse,0.26,0.22,0.41
2,pulse,0.26,0.22,0.41
2,pulse,0.27,0.22,0.41
2,pulse,0.27,0.22,0.41
2,pulse,0.28,0.22,0.41
2,pulse,0.28,0.22,0.41
2,pulse,0.29,0.22,0.41
2,pulse,0.29,0.22,0.41
2,pulse,0.3,0.22,0.41
2,pulse,0.3,0.22,0.41
2,pulse,0.31,0.22,0.41
2,pulse,0.31,0.22,0.41
2,pulse,0.32,0.22,0.41
2,pulse,0.32,0.22,0.41
2,pulse,0.33,0.22,0.41
2,pulse,0.33,0.22,0.41
2,pulse,0.34,0.22,0.41
2,pulse,0.34,0.22,0.41
2,pulse,0.35,0.22,0.41
2,pulse,0.35,0.22,0.41
2,pulse,0.36,0.22,0.41
2,pulse,0.36,0.22,0.41
2,breath,1.41,1.41,2.01
2,breath,1.43,1.41,2.01
2,breath,1.44,1.41,2.01
2,breath,1.46,1.41,2.01
2,breath,1.48,1.41,2.01
2,breath,1.5,1.41,2.01
2,breath,1.52,1.41,2.01
2,breath,1.54,1.41,2.01
2,breath,1.56,1.41,2.01
2,breath,1.58,1.41,2.01
2,breath,2.01,1.41,2.01
3,pulse,0.07,0.07,0.25
3,pulse,0.07,0.07,0.25
3,pulse,0.08,0.07,0.25
3,pulse,0.08,0.07,0.25
3,pulse,0.09,0.07,0.25
3,pulse,0.09,0.07,0.25
3,pulse,0.1,0.07,0.25
3,pulse,0.1,0.07,0.25
3,pulse,0.11,0.07,0.25
3,pulse,0.11,0.07,0.25
3,pulse,0.12,0.07,0.25
3,pulse,0.12,0.07,0.25
3,pulse,0.13,0.07,0.25
3,pulse,0.13,0.07,0.25
3,pulse,0.14,0.07,0.25
3,pulse,0.14,0.07,0.25
3,pulse,0.15,0.07,0.25
3,pulse,0.15,0.07,0.25
3,pulse,0.16,0.07,0.25
3,pulse,0.16,0.07,0.25
3,pulse,0.17,0.07,0.25
3,pulse,0.17,0.07,0.25
3,pulse,0.18,0.07,0.25
3,pulse,0.18,0.07,0.25
3,pulse,0.19,0.07,0.25
3,pulse,0.19,0.07,0.25
3,pulse,0.2,0.07,0.25
3,pulse,0.2,0.07,0.25
3,pulse,0.21,0.07,0.25
3,pulse,0.21,0.07,0.25
3,pulse,0.22,0.07,0.25
3,pulse,0.22,0.07,0.25
3,pulse,0.23,0.07,0.25
3,pulse,0.23,0.07,0.25
3,pulse,0.24,0.07,0.25
3,pulse,0.24,0.07,0.25
3,pulse,0.25,0.07,0.25
3,pulse,0.25,0.07,0.25
3,breath,2.3,2.3,2.5
3,breath,2.32,2.3,2.5
3,breath,2.33,2.3,2.5
3,breath,2.36,2.3,2.5
3,breath,2.37,2.3,2.5
3,breath,2.39,2.3,2.5
3,breath,2.41,2.3,2.5
3,breath,2.43,2.3,2.5
3,breath,2.45,2.3,2.5
3,breath,2.47,2.3,2.5
3,breath,2.5,2.3,2.5
4,pulse,2.55,2.55,3.07
4,pulse,2.55,2.55,3.07
4,pulse,2.56,2.55,3.07
4,pulse,2.56,2.55,3.07
4,pulse,2.57,2.55,3.07
4,pulse,2.57,2.55,3.07
4,pulse,2.58,2.55,3.07
4,pulse,2.58,2.55,3.07
4,pulse,2.59,2.55,3.07
4,pulse,2.59,2.55,3.07
4,pulse,3,2.55,3.07
4,pulse,3,2.55,3.07
4,pulse,3.01,2.55,3.07
4,pulse,3.01,2.55,3.07
4,pulse,3.02,2.55,3.07
4,pulse,3.02,2.55,3.07
4,pulse,3.03,2.55,3.07
4,pulse,3.03,2.55,3.07
4,pulse,3.04,2.55,3.07
4,pulse,3.04,2.55,3.07
4,pulse,3.05,2.55,3.07
4,pulse,3.05,2.55,3.07
4,pulse,3.06,2.55,3.07
4,pulse,3.06,2.55,3.07
4,pulse,3.07,2.55,3.07
4,pulse,3.07,2.55,3.07
4,breath,3.13,3.13,3.54
4,breath,3.15,3.13,3.54
4,breath,3.17,3.13,3.54
4,breath,3.2,3.13,3.54
4,breath,3.23,3.13,3.54
4,breath,3.26,3.13,3.54
4,breath,3.29,3.13,3.54
4,breath,3.32,3.13,3.54
4,breath,3.34,3.13,3.54
4,breath,3.37,3.13,3.54
4,breath,3.4,3.13,3.54
4,breath,3.46,3.13,3.54
4,breath,3.47,3.13,3.54
4,breath,3.5,3.13,3.54
4,breath,3.51,3.13,3.54
4,breath,3.52,3.13,3.54
4,breath,3.53,3.13,3.54
4,breath,3.54,3.13,3.54
5,pulse,3.55,3.55,4.01
5,pulse,3.55,3.55,4.01
5,pulse,3.56,3.55,4.01
5,pulse,3.56,3.55,4.01
5,pulse,3.57,3.55,4.01
5,pulse,3.57,3.55,4.01
5,pulse,3.58,3.55,4.01
5,pulse,3.58,3.55,4.01
5,pulse,3.59,3.55,4.01
5,pulse,3.59,3.55,4.01
5,pulse,4,3.55,4.01
5,pulse,4,3.55,4.01
5,pulse,4.01,3.55,4.01
5,pulse,4.01,3.55,4.01
5,breath,4.05,4.05,4.29
5,breath,4.07,4.05,4.29
5,breath,4.09,4.05,4.29
5,breath,4.11,4.05,4.29
5,breath,4.14,4.05,4.29
5,breath,4.17,4.05,4.29
5,breath,4.2,4.05,4.29
5,breath,4.22,4.05,4.29
5,breath,4.26,4.05,4.29
5,breath,4.29,4.05,4.29
6,pulse,4.4,4.4,5
6,pulse,4.4,4.4,5
6,pulse,4.41,4.4,5
6,pulse,4.41,4.4,5
6,pulse,4.42,4.4,5
6,pulse,4.42,4.4,5
6,pulse,4.43,4.4,5
6,pulse,4.43,4.4,5
6,pulse,4.44,4.4,5
6,pulse,4.44,4.4,5
6,pulse,4.45,4.4,5
6,pulse,4.45,4.4,5
6,pulse,4.46,4.4,5
6,pulse,4.46,4.4,5
6,pulse,4.47,4.4,5
6,pulse,4.47,4.4,5
6,pulse,4.48,4.4,5
6,pulse,4.48,4.4,5
6,pulse,4.49,4.4,5
6,pulse,4.49,4.4,5
6,pulse,4.5,4.4,5
6,pulse,4.5,4.4,5
6,pulse,4.51,4.4,5
6,pulse,4.51,4.4,5
6,pulse,4.52,4.4,5
6,pulse,4.52,4.4,5
6,pulse,4.53,4.4,5
6,pulse,4.53,4.4,5
6,breath,4.59,4.59,5.22
6,breath,5.02,4.59,5.22
6,breath,5.04,4.59,5.22
6,breath,5.07,4.59,5.22
6,breath,5.1,4.59,5.22
6,breath,5.13,4.59,5.22
6,breath,5.16,4.59,5.22
6,breath,5.19,4.59,5.22
6,breath,5.22,4.59,5.22
7,pulse,6.09,6.09,6.26
7,pulse,6.09,6.09,6.26
7,pulse,6.1,6.09,6.26
7,pulse,6.1,6.09,6.26
7,pulse,6.11,6.09,6.26
7,pulse,6.11,6.09,6.26
7,pulse,6.12,6.09,6.26
7,pulse,6.12,6.09,6.26
7,pulse,6.13,6.09,6.26
7,pulse,6.13,6.09,6.26
7,pulse,6.14,6.09,6.26
7,pulse,6.14,6.09,6.26
7,pulse,6.15,6.09,6.26
7,pulse,6.15,6.09,6.26
7,pulse,6.16,6.09,6.26
7,pulse,6.16,6.09,6.26
7,pulse,6.17,6.09,6.26
7,pulse,6.17,6.09,6.26
7,pulse,6.18,6.09,6.26
7,pulse,6.18,6.09,6.26
7,pulse,6.19,6.09,6.26
7,pulse,6.19,6.09,6.26
7,pulse,6.2,6.09,6.26
7,pulse,6.2,6.09,6.26
7,pulse,6.21,6.09,6.26
7,pulse,6.21,6.09,6.26
7,pulse,6.22,6.09,6.26
7,pulse,6.22,6.09,6.26
7,pulse,6.23,6.09,6.26
7,pulse,6.23,6.09,6.26
7,pulse,6.24,6.09,6.26
7,pulse,6.24,6.09,6.26
7,pulse,6.25,6.09,6.26
7,pulse,6.25,6.09,6.26
7,pulse,6.26,6.09,6.26
7,pulse,6.26,6.09,6.26
7,breath,6.3,6.3,6.55
7,breath,6.32,6.3,6.55
7,breath,6.35,6.3,6.55
7,breath,6.38,6.3,6.55
7,breath,6.41,6.3,6.55
7,breath,6.44,6.3,6.55
7,breath,6.47,6.3,6.55
7,breath,6.5,6.3,6.55
7,breath,6.53,6.3,6.55
7,breath,6.55,6.3,6.55
8,pulse,7,7,7.04
8,pulse,7,7,7.04
8,pulse,7.01,7,7.04
8,pulse,7.01,7,7.04
8,pulse,7.02,7,7.04
8,pulse,7.02,7,7.04
8,pulse,7.03,7,7.04
8,pulse,7.03,7,7.04
8,pulse,7.04,7,7.04
8,pulse,7.04,7,7.04
8,breath,7.17,7.17,7.43
8,breath,7.19,7.17,7.43
8,breath,7.22,7.17,7.43
8,breath,7.25,7.17,7.43
8,breath,7.27,7.17,7.43
8,breath,7.3,7.17,7.43
8,breath,7.33,7.17,7.43
8,breath,7.37,7.17,7.43
8,breath,7.39,7.17,7.43
8,breath,7.43,7.17,7.43
9,pulse,7.47,7.47,7.59
9,pulse,7.47,7.47,7.59
9,pulse,7.48,7.47,7.59
9,pulse,7.48,7.47,7.59
9,pulse,7.49,7.47,7.59
9,pulse,7.49,7.47,7.59
9,pulse,7.5,7.47,7.59
9,pulse,7.5,7.47,7.59
9,pulse,7.51,7.47,7.59
9,pulse,7.51,7.47,7.59
9,pulse,7.52,7.47,7.59
9,pulse,7.52,7.47,7.59
9,pulse,7.53,7.47,7.59
9,pulse,7.53,7.47,7.59
9,pulse,7.54,7.47,7.59
9,pulse,7.54,7.47,7.59
9,pulse,7.55,7.47,7.59
9,pulse,7.55,7.47,7.59
9,pulse,7.56,7.47,7.59
9,pulse,7.56,7.47,7.59
9,pulse,7.57,7.47,7.59
9,pulse,7.57,7.47,7.59
9,pulse,7.58,7.47,7.59
9,pulse,7.58,7.47,7.59
9,pulse,7.59,7.47,7.59
9,pulse,7.59,7.47,7.59
9,breath,8.05,8.05,8.33
9,breath,8.08,8.05,8.33
9,breath,8.12,8.05,8.33
9,breath,8.16,8.05,8.33
9,breath,8.19,8.05,8.33
9,breath,8.22,8.05,8.33
9,breath,8.26,8.05,8.33
9,breath,8.3,8.05,8.33
9,breath,8.33,8.05,8.33
10,pulse,8.44,8.44,9.01
10,pulse,8.44,8.44,9.01
10,pulse,8.45,8.44,9.01
10,pulse,8.45,8.44,9.01
10,pulse,8.46,8.44,9.01
10,pulse,8.46,8.44,9.01
10,pulse,8.47,8.44,9.01
10,pulse,8.47,8.44,9.01
10,pulse,8.48,8.44,9.01
10,pulse,8.48,8.44,9.01
10,pulse,8.49,8.44,9.01
10,pulse,8.49,8.44,9.01
10,pulse,8.5,8.44,9.01
10,pulse,8.5,8.44,9.01
10,pulse,8.51,8.44,9.01
10,pulse,8.51,8.44,9.01
10,pulse,8.52,8.44,9.01
10,pulse,8.52,8.44,9.01
10,pulse,8.53,8.44,9.01
10,pulse,8.53,8.44,9.01
10,pulse,8.54,8.44,9.01
10,pulse,8.54,8.44,9.01
10,pulse,8.55,8.44,9.01
10,pulse,8.55,8.44,9.01
10,pulse,8.56,8.44,9.01
10,pulse,8.56,8.44,9.01
10,pulse,8.57,8.44,9.01
10,pulse,8.57,8.44,9.01
10,pulse,8.58,8.44,9.01
10,pulse,8.58,8.44,9.01
10,pulse,8.59,8.44,9.01
10,pulse,8.59,8.44,9.01
10,pulse,9,8.44,9.01
10,pulse,9,8.44,9.01
10,pulse,9.01,8.44,9.01
10,pulse,9.01,8.44,9.01
10,breath,9.06,9.06,9.33
10,breath,9.09,9.06,9.33
10,breath,9.11,9.06,9.33
10,breath,9.14,9.06,9.33
10,breath,9.17,9.06,9.33
10,breath,9.2,9.06,9.33
10,breath,9.23,9.06,9.33
10,breath,9.26,9.06,9.33
10,breath,9.29,9.06,9.33
10,breath,9.33,9.06,9.33
11,pulse,9.4,9.4,9.57
11,pulse,9.4,9.4,9.57
11,pulse,9.41,9.4,9.57
11,pulse,9.41,9.4,9.57
11,pulse,9.42,9.4,9.57
11,pulse,9.42,9.4,9.57
11,pulse,9.43,9.4,9.57
11,pulse,9.43,9.4,9.57
11,pulse,9.44,9.4,9.57
11,pulse,9.44,9.4,9.57
11,pulse,9.45,9.4,9.57
11,pulse,9.45,9.4,9.57
11,pulse,9.46,9.4,9.57
11,pulse,9.46,9.4,9.57
11,pulse,9.47,9.4,9.57
11,pulse,9.47,9.4,9.57
11,pulse,9.48,9.4,9.57
11,pulse,9.48,9.4,9.57
11,pulse,9.49,9.4,9.57
11,pulse,9.49,9.4,9.57
11,pulse,9.5,9.4,9.57
11,pulse,9.5,9.4,9.57
11,pulse,9.51,9.4,9.57
11,pulse,9.51,9.4,9.57
11,pulse,9.52,9.4,9.57
11,pulse,9.52,9.4,9.57
11,pulse,9.53,9.4,9.57
11,pulse,9.53,9.4,9.57
11,pulse,9.54,9.4,9.57
11,pulse,9.54,9.4,9.57
11,pulse,9.55,9.4,9.57
11,pulse,9.55,9.4,9.57
11,pulse,9.56,9.4,9.57
11,pulse,9.56,9.4,9.57
11,pulse,9.57,9.4,9.57
11,pulse,9.57,9.4,9.57
11,breath,10.01,10.01,10.27
11,breath,10.03,10.01,10.27
11,breath,10.06,10.01,10.27
11,breath,10.09,10.01,10.27
11,breath,10.13,10.01,10.27
11,breath,10.16,10.01,10.27
11,breath,10.19,10.01,10.27
11,breath,10.22,10.01,10.27
11,breath,10.24,10.01,10.27
11,breath,10.27,10.01,10.27
12,pulse,10.35,10.35,10.51
12,pulse,10.35,10.35,10.51
12,pulse,10.37,10.35,10.51
12,pulse,10.37,10.35,10.51
12,pulse,10.38,10.35,10.51
12,pulse,10.38,10.35,10.51
12,pulse,10.39,10.35,10.51
12,pulse,10.39,10.35,10.51
12,pulse,10.4,10.35,10.51
12,pulse,10.4,10.35,10.51
12,pulse,10.41,10.35,10.51
12,pulse,10.41,10.35,10.51
12,pulse,10.42,10.35,10.51
12,pulse,10.42,10.35,10.51
12,pulse,10.43,10.35,10.51
12,pulse,10.43,10.35,10.51
12,pulse,10.44,10.35,10.51
12,pulse,10.44,10.35,10.51
12,pulse,10.45,10.35,10.51
12,pulse,10.45,10.35,10.51
12,pulse,10.46,10.35,10.51
12,pulse,10.46,10.35,10.51
12,pulse,10.47,10.35,10.51
12,pulse,10.47,10.35,10.51
12,pulse,10.48,10.35,10.51
12,pulse,10.48,10.35,10.51
12,pulse,10.49,10.35,10.51
12,pulse,10.49,10.35,10.51
12,pulse,10.5,10.35,10.51
12,pulse,10.5,10.35,10.51
12,pulse,10.51,10.35,10.51
12,pulse,10.51,10.35,10.51
12,breath,10.55,10.55,11.23
12,breath,10.58,10.55,11.23
12,breath,11.01,10.55,11.23
12,breath,11.05,10.55,11.23
12,breath,11.08,10.55,11.23
12,breath,11.11,10.55,11.23
12,breath,11.14,10.55,11.23
12,breath,11.17,10.55,11.23
12,breath,11.2,10.55,11.23
12,breath,11.23,10.55,11.23
13,pulse,11.28,11.28,11.44
13,pulse,11.28,11.28,11.44
13,pulse,11.29,11.28,11.44
13,pulse,11.29,11.28,11.44
13,pulse,11.3,11.28,11.44
13,pulse,11.3,11.28,11.44
13,pulse,11.31,11.28,11.44
13,pulse,11.31,11.28,11.44
13,pulse,11.32,11.28,11.44
13,pulse,11.32,11.28,11.44
13,pulse,11.33,11.28,11.44
13,pulse,11.33,11.28,11.44
13,pulse,11.34,11.28,11.44
13,pulse,11.34,11.28,11.44
13,pulse,11.35,11.28,11.44
13,pulse,11.35,11.28,11.44
13,pulse,11.36,11.28,11.44
13,pulse,11.36,11.28,11.44
13,pulse,11.37,11.28,11.44
13,pulse,11.37,11.28,11.44
13,pulse,11.38,11.28,11.44
13,pulse,11.38,11.28,11.44
13,pulse,11.39,11.28,11.44
13,pulse,11.39,11.28,11.44
13,pulse,11.4,11.28,11.44
13,pulse,11.4,11.28,11.44
13,pulse,11.41,11.28,11.44
13,pulse,11.41,11.28,11.44
13,pulse,11.42,11.28,11.44
13,pulse,11.42,11.28,11.44
13,pulse,11.43,11.28,11.44
13,pulse,11.43,11.28,11.44
13,pulse,11.44,11.28,11.44
13,pulse,11.44,11.28,11.44
13,breath,11.5,11.5,12.15
13,breath,11.53,11.5,12.15
13,breath,11.55,11.5,12.15
13,breath,11.57,11.5,12.15
13,breath,11.59,11.5,12.15
13,breath,12.02,11.5,12.15
13,breath,12.05,11.5,12.15
13,breath,12.08,11.5,12.15
13,breath,12.12,11.5,12.15
13,breath,12.15,11.5,12.15
14,pulse,12.19,12.19,12.39
14,pulse,12.19,12.19,12.39
14,pulse,12.2,12.19,12.39
14,pulse,12.2,12.19,12.39
14,pulse,12.21,12.19,12.39
14,pulse,12.21,12.19,12.39
14,pulse,12.22,12.19,12.39
14,pulse,12.22,12.19,12.39
14,pulse,12.23,12.19,12.39
14,pulse,12.23,12.19,12.39
14,pulse,12.24,12.19,12.39
14,pulse,12.24,12.19,12.39
14,pulse,12.25,12.19,12.39
14,pulse,12.25,12.19,12.39
14,pulse,12.26,12.19,12.39
14,pulse,12.26,12.19,12.39
14,pulse,12.27,12.19,12.39
14,pulse,12.27,12.19,12.39
14,pulse,12.28,12.19,12.39
14,pulse,12.28,12.19,12.39
14,pulse,12.29,12.19,12.39
14,pulse,12.29,12.19,12.39
14,pulse,12.3,12.19,12.39
14,pulse,12.3,12.19,12.39
14,pulse,12.31,12.19,12.39
14,pulse,12.31,12.19,12.39
14,pulse,12.32,12.19,12.39
14,pulse,12.32,12.19,12.39
14,pulse,12.33,12.19,12.39
14,pulse,12.33,12.19,12.39
14,pulse,12.34,12.19,12.39
14,pulse,12.34,12.19,12.39
14,pulse,12.35,12.19,12.39
14,pulse,12.35,12.19,12.39
14,pulse,12.36,12.19,12.39
14,pulse,12.36,12.19,12.39
14,pulse,12.37,12.19,12.39
14,pulse,12.37,12.19,12.39
14,pulse,12.38,12.19,12.39
14,pulse,12.38,12.19,12.39
14,pulse,12.39,12.19,12.39
14,pulse,12.39,12.19,12.39
14,breath,12.44,12.44,13.09
14,breath,12.47,12.44,13.09
14,breath,12.5,12.44,13.09
14,breath,12.54,12.44,13.09
14,breath,12.57,12.44,13.09
14,breath,13,12.44,13.09
14,breath,13.03,12.44,13.09
14,breath,13.06,12.44,13.09
14,breath,13.09,12.44,13.09
15,pulse,13.13,13.13,13.31
15,pulse,13.13,13.13,13.31
15,pulse,13.14,13.13,13.31
15,pulse,13.14,13.13,13.31
15,pulse,13.15,13.13,13.31
15,pulse,13.15,13.13,13.31
15,pulse,13.16,13.13,13.31
15,pulse,13.16,13.13,13.31
15,pulse,13.17,13.13,13.31
15,pulse,13.17,13.13,13.31
15,pulse,13.18,13.13,13.31
15,pulse,13.18,13.13,13.31
15,pulse,13.19,13.13,13.31
15,pulse,13.19,13.13,13.31
15,pulse,13.2,13.13,13.31
15,pulse,13.2,13.13,13.31
15,pulse,13.21,13.13,13.31
15,pulse,13.21,13.13,13.31
15,pulse,13.22,13.13,13.31
15,pulse,13.22,13.13,13.31
15,pulse,13.23,13.13,13.31
15,pulse,13.23,13.13,13.31
15,pulse,13.24,13.13,13.31
15,pulse,13.24,13.13,13.31
15,pulse,13.25,13.13,13.31
15,pulse,13.25,13.13,13.31
15,pulse,13.26,13.13,13.31
15,pulse,13.26,13.13,13.31
15,pulse,13.27,13.13,13.31
15,pulse,13.27,13.13,13.31
15,pulse,13.28,13.13,13.31
15,pulse,13.28,13.13,13.31
15,pulse,13.29,13.13,13.31
15,pulse,13.29,13.13,13.31
15,pulse,13.3,13.13,13.31
15,pulse,13.3,13.13,13.31
15,pulse,13.31,13.13,13.31
15,pulse,13.31,13.13,13.31
15,breath,13.34,13.34,14
15,breath,13.37,13.34,14
15,breath,13.4,13.34,14
15,breath,13.42,13.34,14
15,breath,13.45,13.34,14
15,breath,13.48,13.34,14
15,breath,13.52,13.34,14
15,breath,13.55,13.34,14
15,breath,13.58,13.34,14
